name,price,img,web,phone,addr,hours,review,neighborhood
Holiday Cocktail Lounge,1,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/Holiday%20Cocktail%20Lounge.jpg?auto=format&blur=100&q=0&w=256,http://www.holidaycocktaillounge.nyc,(212) 777-9637,75 Saint Marks Pl,[],"Holiday Cocktail Lounge has been around pretty much forever (Leon Trotsky apparently used to hang out here, if an establishment’s Marxist pedgiree is important to you). After closing for a while, the classic dive bar was recently revamped, and now makes very legit cocktails as well as some tasty bar bites. Despite the mixology thing, this place still has a dark, classic feel.",1
The Immigrant,1,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/The%20Immigrant.jpg?auto=format&blur=100&q=0&w=256,http://theimmigrantnyc.com,(212) 677-2545,341 E 9th St,"[('Saturday', '5pm-3am'), ('Sunday', '5pm-1am'), ('Monday', '5pm-1am'), ('Tuesday', '5pm-1am'), ('Wednesday', '5pm-1am'), ('Thursday', '5pm-1am'), ('Friday', '5pm-3am'), ('Saturday', '5pm-3am'), ('Sunday', '5pm-1am'), ('Monday', '5pm-1am'), ('Tuesday', '5pm-1am'), ('Wednesday', '5pm-1am'), ('Thursday', '5pm-1am'), ('Friday', '5pm-3am')]","On one side, The Immigrant is a wine bar. On the other side, a beer bar. Choosing which side to sit in is kind of like picking a pill in The Matrix, except there aren’t really any consequences. Both sides are charming, quiet, and usually not too crowded.",1
Boilermaker,1,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/Boilermaker.jpg?auto=format&blur=100&q=0&w=256,http://www.boilermakernyc.com/#home,(212) 995-5400,13 1st Ave,"[('Saturday', '4pm-4am'), ('Sunday', '4pm-2am'), ('Monday', '5pm-2am'), ('Tuesday', '5pm-2am'), ('Wednesday', '5pm-2am'), ('Thursday', '5pm-4am'), ('Friday', '5pm-4am'), ('Saturday', '4pm-4am'), ('Sunday', '4pm-2am'), ('Monday', '5pm-2am'), ('Tuesday', '5pm-2am'), ('Wednesday', '5pm-2am'), ('Thursday', '5pm-4am'), ('Friday', '5pm-4am')]","Boilermaker is a utility play: they have a solid happy hour, a decent burger, it’s good for groups, and it’s located right above Houston, should you want to keep things in the southern part of the neighborhood. Get a “white trash negroni.”",1
Death & Co,3,https://infatuation.imgix.net/media/CACHE/images/reviews/death-co/banners/Death-Co_1/33c020c438c915a16822e6f9ac191dc3.jpg?auto=format&blur=100&q=0&w=256,http://www.deathandcompany.com/,212-388-0882,433 E. 6th St.,"[('Saturday', '6pm-3am'), ('Sunday', '6pm-2am'), ('Monday', '6pm-2am'), ('Tuesday', '6pm-2am'), ('Wednesday', '6pm-2am'), ('Thursday', '6pm-2am'), ('Friday', '6pm-3am'), ('Saturday', '6pm-3am'), ('Sunday', '6pm-2am'), ('Monday', '6pm-2am'), ('Tuesday', '6pm-2am'), ('Wednesday', '6pm-2am'), ('Thursday', '6pm-2am'), ('Friday', '6pm-3am')]",The 6th Street speakeasy is actually just as good it was when you went on a date there four years ago. Bonus feature: the food’s pretty good too.,1
East Village Social (EVS),1,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/East%20Village%20Social.jpg?auto=format&blur=100&q=0&w=256,http://evsnyc.com,(646) 755-8662,126 Saint Marks Pl,"[('Saturday', '2pm-4am'), ('Sunday', '2pm-4am'), ('Monday', '2pm-4am'), ('Tuesday', '2pm-4am'), ('Wednesday', '2pm-4am'), ('Thursday', '2pm-4am'), ('Friday', '2pm-4am'), ('Saturday', '2pm-4am'), ('Sunday', '2pm-4am'), ('Monday', '2pm-4am'), ('Tuesday', '2pm-4am'), ('Wednesday', '2pm-4am'), ('Thursday', '2pm-4am'), ('Friday', '2pm-4am')]","East Village Social kind of sounds like an East Village-themed bar in Pensacola. Instead, it’s a cozy, casual spot for a low-key drink.",1
The Wren,1,https://infatuation.imgix.net/media/CACHE/images/images/reviews/the-wren/banners/1481231119.97/0a187b67c97d4a7140bb599b488bed05.jpg?auto=format&blur=100&q=0&w=256,http://www.thewrennyc.com,(212) 388-0148,344 Bowery,"[('Saturday', '10:30am-4am'), ('Sunday', '10:30am-2am'), ('Monday', '4pm-2am'), ('Tuesday', '4pm-2am'), ('Wednesday', '4pm-2am'), ('Thursday', '4pm-4am'), ('Friday', '2pm-4am'), ('Saturday', '10:30am-4am'), ('Sunday', '10:30am-2am'), ('Monday', '4pm-2am'), ('Tuesday', '4pm-2am'), ('Wednesday', '4pm-2am'), ('Thursday', '4pm-4am'), ('Friday', '2pm-4am')]","The Wren gets crazy on weekends, and is a favorite of the white button-downs tucked into khakis crowd. But don’t forget that this is actually a very nice bar. On weeknights, it’s a generally comfortable and fun place to drink whiskey.",2
Ace Bar,1,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/Ace%20Bar.jpg?auto=format&blur=100&q=0&w=256,http://www.acebar.com,(212) 979-8476,531 E 5th St,"[('Saturday', '1pm-4am'), ('Sunday', '1pm-4am'), ('Monday', '3pm-4am'), ('Tuesday', '3pm-4am'), ('Wednesday', '3pm-4am'), ('Thursday', '3pm-4am'), ('Friday', '3pm-4am'), ('Saturday', '1pm-4am'), ('Sunday', '1pm-4am'), ('Monday', '3pm-4am'), ('Tuesday', '3pm-4am'), ('Wednesday', '3pm-4am'), ('Thursday', '3pm-4am'), ('Friday', '3pm-4am')]","Ace Bar is all about games: pool, darts, pinball, skee ball. It’s great for big groups, especially if your big group is the sort that’s better suited to throwing darts at a wall than carrying on polite conversation.",1
Amor y Amargo,2,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/Amor%20Y%20Amargo.jpg?auto=format&blur=100&q=0&w=256,http://amoryamargony.com,(212) 614-6818,443 E 6th St,"[('Saturday', '3pm-3am'), ('Sunday', '3pm-1am'), ('Monday', '5pm-1am'), ('Tuesday', '5pm-1am'), ('Wednesday', '5pm-1am'), ('Thursday', '5pm-1am'), ('Friday', '5pm-1am'), ('Saturday', '3pm-3am'), ('Sunday', '3pm-1am'), ('Monday', '5pm-1am'), ('Tuesday', '5pm-1am'), ('Wednesday', '5pm-1am'), ('Thursday', '5pm-1am'), ('Friday', '5pm-1am')]","This is a “bitters tasting room” and all the cocktails on offer are made accordingly, with bitters. No bottles of Schweppes here. It’s small and standing room only, but it’s a very cool spot to stop for a drink on your way.",1
d.b.a.,2,https://infatuation.imgix.net/media/CACHE/images/images/reviews/dba-/banners/1511293134.67/584adddc2ee44e3be86882548bff10db.jpg?auto=format&blur=100&q=0&w=256,http://www.drinkgoodstuff.com/ny/defaul,(212) 475-5097,41 1st Ave,[],"d.b.a. has two key features that draw most of its fans in: a large and excellent beer selection, and the also large and also excellent backyard patio.",1
The Wayland,1,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/The%20Wayland.jpg?auto=format&blur=100&q=0&w=256,http://thewaylandnyc.com,(212) 777-7022,700 E 9th St,"[('Saturday', '5pm-4am'), ('Sunday', '5pm-4am'), ('Monday', '5pm-4am'), ('Tuesday', '5pm-4am'), ('Wednesday', '5pm-4am'), ('Thursday', '5pm-4am'), ('Friday', '5pm-4am'), ('Saturday', '5pm-4am'), ('Sunday', '5pm-4am'), ('Monday', '5pm-4am'), ('Tuesday', '5pm-4am'), ('Wednesday', '5pm-4am'), ('Thursday', '5pm-4am'), ('Friday', '5pm-4am')]","Avenue C is filled with fun bars suited for everything from a nice date to being trashed at 2 am. The Wayland is one of those places that manages to do it all. We like it for a drink on a weeknight, day drinking on a Saturday, and for 2 am rowdiness as well.",1
The Garret,2,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/Garret%20East.jpg?auto=format&blur=100&q=0&w=256,http://www.garretnyc.com,(212) 228-6231,206 Avenue A,"[('Saturday', '5pm-3am'), ('Sunday', 'Closed'), ('Monday', '5pm-3am'), ('Tuesday', '5pm-3am'), ('Wednesday', '5pm-3am'), ('Thursday', '5pm-3am'), ('Friday', '5pm-3am'), ('Saturday', '5pm-3am'), ('Sunday', 'Closed'), ('Monday', '5pm-3am'), ('Tuesday', '5pm-3am'), ('Wednesday', '5pm-3am'), ('Thursday', '5pm-3am'), ('Friday', '5pm-3am')]","While the original Garret in the West Village is a small space that tends to get crowded easily, the new East Village one is much more spacious, with lots of bar seating and a few booths. There’s also living room-like setting at the back (complete with couches) that would make for a solid, low-key birthday hang.",1
